service_id,service_name,busType,first_bpName,first_bp_time,last_bpName,last_bp_time,busNumber
732,Pune-Goa | 09:15PM,2+1(46)AC: BharatBenz Seater:Sleeper with Washroom: ,Kolhapur,02:10,Madgaon,09:00,AR01W8900
733,Goa-Pune | 08:30PM,2+1(46)AC: BharatBenz Seater:Sleeper with Washroom: ,Kolhapur,02:35,Nigdi,08:00,AR01W9100
744,Pune-Goa | 10:30PM,2+1(34)AC: BharatBenz Sleeper with Washroom: ,Wai Phata,01:00,Madgaon,10:50,AR01W8500
745,Goa-Pune | 06:00PM,2+1(34)AC: BharatBenz Sleeper with Washroom: ,Madgaon,16:30,Kolhapur,23:50,AR01W8500
763,Bangalore-Madurai | 09:15PM,2+1(36)AC: Sleeper: Luxury,Dharmapuri Bypass,00:20,Mattuthavani Bus Stand,06:00,TN59CT2299
764,Madurai-Bangalore | 09:00PM,2+1(36)AC: Sleeper: Luxury,Karur Bypass,00:15,Mekri Circle,07:00,TN59CT2221
767,Vijayawada-Hyderabad | 11:45PM,2+1(46)AC: BharatBenz Seater:Sleeper: ,Kankipadu Bus Stand,23:00,Gachibowli,06:30,PY04A7890
768,Hyderabad-Vijayawada | 10:55PM,2+1(46)AC: BharatBenz Seater:Sleeper: ,Kondapur,22:45,Kankipadu,06:10,PY04A7918
769,Pune-Goa | 10:00PM,2+1(36)AC: Sleeper with Washroom: Luxury,Wai Phata,00:45,Madgaon,10:35,MP13ZN8073
770,Goa-Pune | 07:00PM,2+1(36)AC: Sleeper with Washroom: Luxury,Kolhapur,01:15,Nigdi,06:45,MP13ZN8735
771,Hyderabad-Pune | 09:55PM,2+1(46)AC: Volvo Eicher Seater:Sleeper with Washroom: ,Solapur Bypass,03:30,Nigdi,09:50,PY01DB6492
772,Pune-Hyderabad | 10:00PM,2+1(46)AC: Volvo Eicher Seater:Sleeper with Washroom: ,Market Yerd Chowk,03:15,Lakdikapool - IntrCity Lounge (Van Dropoff),11:45,PY01DB6478
775,Chennai-Hyderabad | 06:15PM,2+1(36)AC: Sleeper: Luxury,Koyambedu,18:00,Kavali,23:25,TN30CE0086
776,Hyderabad-Chennai | 08:30PM,2+1(36)AC: Sleeper: Luxury,Allwyn X Road (Van Pickup),17:25,Koyambedu,08:45,TN30CE0075
781,Chennai-Hyderabad | 08:00PM,2+1(36)AC: Sleeper: Luxury,Nellore Bypass,00:15,Allwyn X Road (Van Dropoff),09:15,TN30CE1814
782,Hyderabad-Chennai | 10:15PM,2+1(36)AC: Sleeper: Luxury,Allwyn X Road (Van Pickup),19:25,Koyambedu,10:20,TN30CE1828
783,Bangalore-Chennai | 11:00PM,2+1(46)AC: Seater: Sleeper: Luxury,Hosur - Boarding Zone,00:15,Siruseri,07:20,AR01S6644
784,Chennai-Bangalore | 11:25PM,2+1(46)AC: Seater: Sleeper: Luxury,Vellore - Boarding Zone,02:35,Majestic - Boarding Zone,07:40,AR01S6643
785,Bangalore-Vijayawada | 07:50PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Majestic - Boarding Zone,17:00,Chittoor Bypass,23:20,NL01B3063
786,Vijayawada-Bangalore | 08:00PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Kavali,01:00,Majestic - Boarding Zone,10:35,NL01B3061
789,Chennai-Madurai | 09:00PM,2+1(48)AC: Seater: Sleeper: Luxury,Villupuram Bypass,00:30,Tirumangalam Bus Stand,06:40,TN02CB9799
790,Madurai-Chennai | 10:45PM,2+1(48)AC: Seater: Sleeper: Luxury,Trichy Bypass,01:00,Koyembedu,07:00,TN02CB9979
795,Bangalore-Hyderabad | 10:05PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Bagepalli,00:25,Gachibowli (Van Dropoff),10:45,TS12UD9637
796,Hyderabad-Bangalore | 11:35PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Gachi_bowli_(O) (Van Pickup),20:25,Madiwala,10:40,TS12UD9638
797,Hyderabad-Visakhapatnam | 08:45PM,2+1(46)AC: Volvo Eicher Seater:Sleeper with Washroom: ,Gachibowli (Van Pickup),17:20,MVP Circle,10:15,NL01B2766
798,Visakhapatnam-Hyderabad | 04:50PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Benz Circle,01:05,Allwyn X Road (Van Dropoff),07:25,TN02BY2234
803,Bangalore-Chennai | 07:10PM,2+1(48)AC: Seater: Sleeper: Luxury,Majestic - Boarding Zone,10:20,Velachery,20:20,PY01DB6414
